queue_rank,set_key,set_name,card_number,card_name,stamp_label,variant_key,blocker_class,source_state,accepted_evidence_rule,rejected_evidence_rule,general_web_url,image_search_url,ebay_active_url,ebay_sold_url,worthpoint_url,tcgplayer_url,pricecharting_url
1,bw1,Black & White,111,Darkness Energy,Play! Pokemon Stamp,play_pokemon_stamp,individual_event_scan_needed,existing_exact_fixtures_already_absorbed_or_unmatched,Accept only if one source proves set + card number + card name + exact stamp/variant + active finish on the same listing/page/scan.,"Reject title-only, generic stamp-family, set-wide, era-wide, or finish-inferred evidence.",https://www.google.com/search?q=%22Darkness%20Energy%22%20%22111%22%20%22Black%20%26%20White%22%20%22Play!%20Pokemon%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.google.com/search?tbm=isch&q=%22Darkness%20Energy%22%20%22111%22%20%22Black%20%26%20White%22%20%22Play!%20Pokemon%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Darkness%20Energy%22%20%22111%22%20%22Black%20%26%20White%22%20%22Play!%20Pokemon%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Darkness%20Energy%22%20%22111%22%20%22Black%20%26%20White%22%20%22Play!%20Pokemon%20Stamp%22%20%22Pokemon%20card%22%20scan%20front&LH_Sold=1&LH_Complete=1,https://www.worthpoint.com/inventory/search?query=%22Darkness%20Energy%22%20%22111%22%20%22Black%20%26%20White%22%20%22Play!%20Pokemon%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.tcgplayer.com/search/pokemon/product?productLineName=pokemon&q=%22Darkness%20Energy%22%20%22111%22%20%22Black%20%26%20White%22%20%22Play!%20Pokemon%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.pricecharting.com/search-products?q=%22Darkness%20Energy%22%20%22111%22%20%22Black%20%26%20White%22%20%22Play!%20Pokemon%20Stamp%22%20%22Pokemon%20card%22%20scan%20front&type=prices
2,col1,Call of Legends,88,Grass Energy,Player Rewards Crosshatch Stamp,player_rewards_crosshatch_stamp,individual_event_scan_needed,existing_exact_fixtures_already_absorbed_or_unmatched,Accept only if one source proves set + card number + card name + exact stamp/variant + active finish on the same listing/page/scan.,"Reject title-only, generic stamp-family, set-wide, era-wide, or finish-inferred evidence.",https://www.google.com/search?q=%22Grass%20Energy%22%20%2288%22%20%22Call%20of%20Legends%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.google.com/search?tbm=isch&q=%22Grass%20Energy%22%20%2288%22%20%22Call%20of%20Legends%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Grass%20Energy%22%20%2288%22%20%22Call%20of%20Legends%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Grass%20Energy%22%20%2288%22%20%22Call%20of%20Legends%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front&LH_Sold=1&LH_Complete=1,https://www.worthpoint.com/inventory/search?query=%22Grass%20Energy%22%20%2288%22%20%22Call%20of%20Legends%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.tcgplayer.com/search/pokemon/product?productLineName=pokemon&q=%22Grass%20Energy%22%20%2288%22%20%22Call%20of%20Legends%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.pricecharting.com/search-products?q=%22Grass%20Energy%22%20%2288%22%20%22Call%20of%20Legends%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front&type=prices
3,ex10,Unseen Forces,29,Lugia,Pokemon Rocks America Stamped; 2005,pokemon_rocks_america_stamped_2005,individual_event_scan_needed,existing_exact_fixtures_already_absorbed_or_unmatched,Accept only if one source proves set + card number + card name + exact stamp/variant + active finish on the same listing/page/scan.,"Reject title-only, generic stamp-family, set-wide, era-wide, or finish-inferred evidence.",https://www.google.com/search?q=%22Lugia%22%20%2229%22%20%22Unseen%20Forces%22%20%22Pokemon%20Rocks%20America%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.google.com/search?tbm=isch&q=%22Lugia%22%20%2229%22%20%22Unseen%20Forces%22%20%22Pokemon%20Rocks%20America%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Lugia%22%20%2229%22%20%22Unseen%20Forces%22%20%22Pokemon%20Rocks%20America%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Lugia%22%20%2229%22%20%22Unseen%20Forces%22%20%22Pokemon%20Rocks%20America%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front&LH_Sold=1&LH_Complete=1,https://www.worthpoint.com/inventory/search?query=%22Lugia%22%20%2229%22%20%22Unseen%20Forces%22%20%22Pokemon%20Rocks%20America%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.tcgplayer.com/search/pokemon/product?productLineName=pokemon&q=%22Lugia%22%20%2229%22%20%22Unseen%20Forces%22%20%22Pokemon%20Rocks%20America%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.pricecharting.com/search-products?q=%22Lugia%22%20%2229%22%20%22Unseen%20Forces%22%20%22Pokemon%20Rocks%20America%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front&type=prices
4,ex11,Delta Species,61,Ditto,Origins Game Fair Stamped; 200,origins_game_fair_stamped_200,individual_event_scan_needed,existing_exact_fixtures_already_absorbed_or_unmatched,Accept only if one source proves set + card number + card name + exact stamp/variant + active finish on the same listing/page/scan.,"Reject title-only, generic stamp-family, set-wide, era-wide, or finish-inferred evidence.",https://www.google.com/search?q=%22Ditto%22%20%2261%22%20%22Delta%20Species%22%20%22Origins%20Game%20Fair%20Stamped%3B%20200%22%20%22Pokemon%20card%22%20scan%20front,https://www.google.com/search?tbm=isch&q=%22Ditto%22%20%2261%22%20%22Delta%20Species%22%20%22Origins%20Game%20Fair%20Stamped%3B%20200%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Ditto%22%20%2261%22%20%22Delta%20Species%22%20%22Origins%20Game%20Fair%20Stamped%3B%20200%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Ditto%22%20%2261%22%20%22Delta%20Species%22%20%22Origins%20Game%20Fair%20Stamped%3B%20200%22%20%22Pokemon%20card%22%20scan%20front&LH_Sold=1&LH_Complete=1,https://www.worthpoint.com/inventory/search?query=%22Ditto%22%20%2261%22%20%22Delta%20Species%22%20%22Origins%20Game%20Fair%20Stamped%3B%20200%22%20%22Pokemon%20card%22%20scan%20front,https://www.tcgplayer.com/search/pokemon/product?productLineName=pokemon&q=%22Ditto%22%20%2261%22%20%22Delta%20Species%22%20%22Origins%20Game%20Fair%20Stamped%3B%20200%22%20%22Pokemon%20card%22%20scan%20front,https://www.pricecharting.com/search-products?q=%22Ditto%22%20%2261%22%20%22Delta%20Species%22%20%22Origins%20Game%20Fair%20Stamped%3B%20200%22%20%22Pokemon%20card%22%20scan%20front&type=prices
5,ex11,Delta Species,64,Ditto,Games Expo Stamped; 2007,games_expo_stamped_2007,individual_event_scan_needed,existing_exact_fixtures_already_absorbed_or_unmatched,Accept only if one source proves set + card number + card name + exact stamp/variant + active finish on the same listing/page/scan.,"Reject title-only, generic stamp-family, set-wide, era-wide, or finish-inferred evidence.",https://www.google.com/search?q=%22Ditto%22%20%2264%22%20%22Delta%20Species%22%20%22Games%20Expo%20Stamped%3B%202007%22%20%22Pokemon%20card%22%20scan%20front,https://www.google.com/search?tbm=isch&q=%22Ditto%22%20%2264%22%20%22Delta%20Species%22%20%22Games%20Expo%20Stamped%3B%202007%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Ditto%22%20%2264%22%20%22Delta%20Species%22%20%22Games%20Expo%20Stamped%3B%202007%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Ditto%22%20%2264%22%20%22Delta%20Species%22%20%22Games%20Expo%20Stamped%3B%202007%22%20%22Pokemon%20card%22%20scan%20front&LH_Sold=1&LH_Complete=1,https://www.worthpoint.com/inventory/search?query=%22Ditto%22%20%2264%22%20%22Delta%20Species%22%20%22Games%20Expo%20Stamped%3B%202007%22%20%22Pokemon%20card%22%20scan%20front,https://www.tcgplayer.com/search/pokemon/product?productLineName=pokemon&q=%22Ditto%22%20%2264%22%20%22Delta%20Species%22%20%22Games%20Expo%20Stamped%3B%202007%22%20%22Pokemon%20card%22%20scan%20front,https://www.pricecharting.com/search-products?q=%22Ditto%22%20%2264%22%20%22Delta%20Species%22%20%22Games%20Expo%20Stamped%3B%202007%22%20%22Pokemon%20card%22%20scan%20front&type=prices
6,ex12,Legend Maker,5,Gengar,Gym Challenge Stamped; 2006 2007,gym_challenge_stamped_2006_2007,individual_event_scan_needed,existing_exact_fixtures_already_absorbed_or_unmatched,Accept only if one source proves set + card number + card name + exact stamp/variant + active finish on the same listing/page/scan.,"Reject title-only, generic stamp-family, set-wide, era-wide, or finish-inferred evidence.",https://www.google.com/search?q=%22Gengar%22%20%225%22%20%22Legend%20Maker%22%20%22Gym%20Challenge%20Stamped%3B%202006%202007%22%20%22Pokemon%20card%22%20scan%20front,https://www.google.com/search?tbm=isch&q=%22Gengar%22%20%225%22%20%22Legend%20Maker%22%20%22Gym%20Challenge%20Stamped%3B%202006%202007%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Gengar%22%20%225%22%20%22Legend%20Maker%22%20%22Gym%20Challenge%20Stamped%3B%202006%202007%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Gengar%22%20%225%22%20%22Legend%20Maker%22%20%22Gym%20Challenge%20Stamped%3B%202006%202007%22%20%22Pokemon%20card%22%20scan%20front&LH_Sold=1&LH_Complete=1,https://www.worthpoint.com/inventory/search?query=%22Gengar%22%20%225%22%20%22Legend%20Maker%22%20%22Gym%20Challenge%20Stamped%3B%202006%202007%22%20%22Pokemon%20card%22%20scan%20front,https://www.tcgplayer.com/search/pokemon/product?productLineName=pokemon&q=%22Gengar%22%20%225%22%20%22Legend%20Maker%22%20%22Gym%20Challenge%20Stamped%3B%202006%202007%22%20%22Pokemon%20card%22%20scan%20front,https://www.pricecharting.com/search-products?q=%22Gengar%22%20%225%22%20%22Legend%20Maker%22%20%22Gym%20Challenge%20Stamped%3B%202006%202007%22%20%22Pokemon%20card%22%20scan%20front&type=prices
7,ex9,Emerald,60,Pikachu,San Diego Comic Con International Stamped; 2005,san_diego_comic_con_international_stamped_2005,individual_event_scan_needed,existing_exact_fixtures_already_absorbed_or_unmatched,Accept only if one source proves set + card number + card name + exact stamp/variant + active finish on the same listing/page/scan.,"Reject title-only, generic stamp-family, set-wide, era-wide, or finish-inferred evidence.",https://www.google.com/search?q=%22Pikachu%22%20%2260%22%20%22Emerald%22%20%22San%20Diego%20Comic%20Con%20International%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.google.com/search?tbm=isch&q=%22Pikachu%22%20%2260%22%20%22Emerald%22%20%22San%20Diego%20Comic%20Con%20International%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Pikachu%22%20%2260%22%20%22Emerald%22%20%22San%20Diego%20Comic%20Con%20International%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Pikachu%22%20%2260%22%20%22Emerald%22%20%22San%20Diego%20Comic%20Con%20International%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front&LH_Sold=1&LH_Complete=1,https://www.worthpoint.com/inventory/search?query=%22Pikachu%22%20%2260%22%20%22Emerald%22%20%22San%20Diego%20Comic%20Con%20International%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.tcgplayer.com/search/pokemon/product?productLineName=pokemon&q=%22Pikachu%22%20%2260%22%20%22Emerald%22%20%22San%20Diego%20Comic%20Con%20International%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.pricecharting.com/search-products?q=%22Pikachu%22%20%2260%22%20%22Emerald%22%20%22San%20Diego%20Comic%20Con%20International%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front&type=prices
8,ex9,Emerald,70,Treecko,Indianapolis GenCon Stamped; 2005,indianapolis_gencon_stamped_2005,individual_event_scan_needed,existing_exact_fixtures_already_absorbed_or_unmatched,Accept only if one source proves set + card number + card name + exact stamp/variant + active finish on the same listing/page/scan.,"Reject title-only, generic stamp-family, set-wide, era-wide, or finish-inferred evidence.",https://www.google.com/search?q=%22Treecko%22%20%2270%22%20%22Emerald%22%20%22Indianapolis%20GenCon%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.google.com/search?tbm=isch&q=%22Treecko%22%20%2270%22%20%22Emerald%22%20%22Indianapolis%20GenCon%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Treecko%22%20%2270%22%20%22Emerald%22%20%22Indianapolis%20GenCon%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Treecko%22%20%2270%22%20%22Emerald%22%20%22Indianapolis%20GenCon%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front&LH_Sold=1&LH_Complete=1,https://www.worthpoint.com/inventory/search?query=%22Treecko%22%20%2270%22%20%22Emerald%22%20%22Indianapolis%20GenCon%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.tcgplayer.com/search/pokemon/product?productLineName=pokemon&q=%22Treecko%22%20%2270%22%20%22Emerald%22%20%22Indianapolis%20GenCon%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front,https://www.pricecharting.com/search-products?q=%22Treecko%22%20%2270%22%20%22Emerald%22%20%22Indianapolis%20GenCon%20Stamped%3B%202005%22%20%22Pokemon%20card%22%20scan%20front&type=prices
9,hgss1,HeartGold & SoulSilver,40,Donphan,Player Rewards Crosshatch Stamp,player_rewards_crosshatch_stamp,individual_event_scan_needed,existing_exact_fixtures_already_absorbed_or_unmatched,Accept only if one source proves set + card number + card name + exact stamp/variant + active finish on the same listing/page/scan.,"Reject title-only, generic stamp-family, set-wide, era-wide, or finish-inferred evidence.",https://www.google.com/search?q=%22Donphan%22%20%2240%22%20%22HeartGold%20%26%20SoulSilver%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.google.com/search?tbm=isch&q=%22Donphan%22%20%2240%22%20%22HeartGold%20%26%20SoulSilver%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Donphan%22%20%2240%22%20%22HeartGold%20%26%20SoulSilver%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Donphan%22%20%2240%22%20%22HeartGold%20%26%20SoulSilver%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front&LH_Sold=1&LH_Complete=1,https://www.worthpoint.com/inventory/search?query=%22Donphan%22%20%2240%22%20%22HeartGold%20%26%20SoulSilver%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.tcgplayer.com/search/pokemon/product?productLineName=pokemon&q=%22Donphan%22%20%2240%22%20%22HeartGold%20%26%20SoulSilver%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.pricecharting.com/search-products?q=%22Donphan%22%20%2240%22%20%22HeartGold%20%26%20SoulSilver%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front&type=prices
10,hgss2,HS—Unleashed,24,Steelix,Player Rewards Crosshatch Stamp,player_rewards_crosshatch_stamp,individual_event_scan_needed,existing_exact_fixtures_already_absorbed_or_unmatched,Accept only if one source proves set + card number + card name + exact stamp/variant + active finish on the same listing/page/scan.,"Reject title-only, generic stamp-family, set-wide, era-wide, or finish-inferred evidence.",https://www.google.com/search?q=%22Steelix%22%20%2224%22%20%22HS%E2%80%94Unleashed%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.google.com/search?tbm=isch&q=%22Steelix%22%20%2224%22%20%22HS%E2%80%94Unleashed%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Steelix%22%20%2224%22%20%22HS%E2%80%94Unleashed%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.ebay.com/sch/i.html?_nkw=%22Steelix%22%20%2224%22%20%22HS%E2%80%94Unleashed%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front&LH_Sold=1&LH_Complete=1,https://www.worthpoint.com/inventory/search?query=%22Steelix%22%20%2224%22%20%22HS%E2%80%94Unleashed%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.tcgplayer.com/search/pokemon/product?productLineName=pokemon&q=%22Steelix%22%20%2224%22%20%22HS%E2%80%94Unleashed%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front,https://www.pricecharting.com/search-products?q=%22Steelix%22%20%2224%22%20%22HS%E2%80%94Unleashed%22%20%22Player%20Rewards%20Crosshatch%20Stamp%22%20%22Pokemon%20card%22%20scan%20front&type=prices
